CMDLINE C:\Users\ramza\AppData\Local\Programs\Python\Python311\python.exe simulator.py
MEM 1.492188 1670610500.0167
MEM 11.839844 1670610500.1176
MEM 19.441406 1670610500.2179
MEM 24.949219 1670610500.3186
MEM 28.410156 1670610500.4189
MEM 32.136719 1670610500.5193
MEM 34.593750 1670610500.6196
MEM 38.328125 1670610500.7199
MEM 42.769531 1670610500.8201
MEM 45.128906 1670610500.9206
MEM 50.308594 1670610501.0210
MEM 56.703125 1670610501.1214
MEM 61.117188 1670610501.2222
MEM 64.953125 1670610501.3386
MEM 67.878906 1670610501.4393
MEM 71.328125 1670610501.5396
MEM 74.796875 1670610501.6400
MEM 77.968750 1670610501.7444
MEM 75.882812 1670610501.8448
