CMDLINE C:\Users\ramza\AppData\Local\Programs\Python\Python311\python.exe simulator_v2.py
MEM 1.546875 1670611015.7488
MEM 11.667969 1670611015.8494
MEM 20.089844 1670611015.9498
MEM 25.304688 1670611016.0500
MEM 29.792969 1670611016.1504
MEM 32.582031 1670611016.2505
MEM 36.457031 1670611016.3511
MEM 39.710938 1670611016.4516
MEM 44.308594 1670611016.5519
MEM 47.453125 1670611016.6525
MEM 52.628906 1670611016.7531
MEM 58.105469 1670611016.8563
MEM 62.910156 1670611016.9569
MEM 65.902344 1670611017.0575
MEM 70.312500 1670611017.1580
MEM 73.777344 1670611017.2590
MEM 77.343750 1670611017.3596
MEM 77.925781 1670611017.4618
